Image,Club_Flag,Country_Flag
https://www.futwiz.com/assets/img/fifa20/faces/158023.png,https://www.futwiz.com/assets/img/fifa20/badges/241.png,https://www.futwiz.com/assets/img/fifa19/flags/52.png
https://www.futwiz.com/assets/img/fifa20/faces/20801.png,https://www.futwiz.com/assets/img/fifa20/badges/45.png,https://www.futwiz.com/assets/img/fifa19/flags/38.png
,https://www.futwiz.com/assets/img/fifa20/badges/10.png,https://www.futwiz.com/assets/img/fifa19/flags/7.png
https://www.futwiz.com/assets/img/fifa20/faces/190871.png,https://www.futwiz.com/assets/img/fifa20/badges/73.png,https://www.futwiz.com/assets/img/fifa19/flags/54.png
https://www.futwiz.com/assets/img/fifa20/faces/183277.png,https://www.futwiz.com/assets/img/fifa20/badges/243.png,https://www.futwiz.com/assets/img/fifa19/flags/7.png
https://www.futwiz.com/assets/img/fifa20/faces/192985.png,https://www.futwiz.com/assets/img/fifa20/badges/10.png,https://www.futwiz.com/assets/img/fifa19/flags/7.png
https://www.futwiz.com/assets/img/fifa20/faces/183277.png,https://www.futwiz.com/assets/img/fifa20/badges/243.png,https://www.futwiz.com/assets/img/fifa19/flags/7.png
https://www.futwiz.com/assets/img/fifa20/faces/200389.png,https://www.futwiz.com/assets/img/fifa20/badges/240.png,https://www.futwiz.com/assets/img/fifa19/flags/44.png
,https://www.futwiz.com/assets/img/fifa20/badges/21.png,https://www.futwiz.com/assets/img/fifa19/flags/37.png
https://www.futwiz.com/assets/img/fifa20/faces/209331.png,https://www.futwiz.com/assets/img/fifa20/badges/9.png,https://www.futwiz.com/assets/img/fifa19/flags/111.png
https://www.futwiz.com/assets/img/fifa20/faces/203376.png,https://www.futwiz.com/assets/img/fifa20/badges/9.png,https://www.futwiz.com/assets/img/fifa19/flags/34.png
https://www.futwiz.com/assets/img/fifa20/faces/192448.png,https://www.futwiz.com/assets/img/fifa20/badges/241.png,https://www.futwiz.com/assets/img/fifa19/flags/21.png
https://www.futwiz.com/assets/img/fifa20/faces/177003.png,https://www.futwiz.com/assets/img/fifa20/badges/243.png,https://www.futwiz.com/assets/img/fifa19/flags/10.png
https://www.futwiz.com/assets/img/fifa20/faces/194765.png,https://www.futwiz.com/assets/img/fifa20/badges/241.png,https://www.futwiz.com/assets/img/fifa19/flags/18.png
,https://www.futwiz.com/assets/img/fifa20/badges/9.png,https://www.futwiz.com/assets/img/fifa19/flags/136.png
,https://www.futwiz.com/assets/img/fifa20/badges/21.png,https://www.futwiz.com/assets/img/fifa19/flags/21.png
https://www.futwiz.com/assets/img/fifa20/faces/215914.png,https://www.futwiz.com/assets/img/fifa20/badges/5.png,https://www.futwiz.com/assets/img/fifa19/flags/18.png
